FILE NAME,Microbial-Protocol-high-OTR_20220504_135030-cc-parentaltest.csv
PROTOCOL,Microbial-Protocol-high-OTR
FILE_VERSION,3.3
DATE START,4.5.2022,13:52:04
DATE END,4.5.2022,13:52:04
DEVICE,BL045-CX_0CFD20
USER,ben,COMMENT,no comment available
PLATETYPE,MTP-48-Flowerplate,LOT,UNKOWN
MTP ROWS,6
MTP COLUMNS,8
FILTERSETS,1

FILTERSET,FILTERNAME,EX [nm],EM [nm],LAYOUT,FILTERNO,GAIN,PHASESTATISTICSSIGMA,SIGNALQUALITYTOLERANCE,REFERENCE VALUE,Process Parameters,,Calibration Parameters,,,,Criterion Parameters,,
1,Biomass,620,620,48MTP,1,30,1,0,100,SET TEMPERATURE [C],32,Phi0,66.16,Biomass Slope,0.044,CRITERION,,
,,,,,,,,,,SET HUMIDITY [%],85,Phi100,38.81,Biomass Offset,5,FI,,
,,,,,,,,,,SET O2 [%],20.95,Phi.min,57.17,Biomass Unit,OD600 [-],FJ,,
,,,,,,,,,,SET CO2 [%],0,Phi.max,18.04,,,FACTOR,0,
,,,,,,,,,,SET SHAKER FREQUENCY [rpm],1000,pH0,6.49,,,S0,NaN,
,,,,,,,,,,SET CYCLE TIME [min],10,dpH,0.53,,,EXTRA INFO,,
,,,,,,,,,,SET EXP TIME [h],1193,Temp. Compensation for pH Calibration,True,Temp. pH [C],32,,,
,,,,,,,,,,,,Temp. Compensation for pO2 Calibration,True,Temp. pO2 [C],32,,,

WELL No.,CONTENT,DESCRIPTION,CHANNEL,
,,,READING ->,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268
,,,TIME [h] ->,0.03582,0.182,0.34866,0.51535,0.68211,0.84868,1.01527,1.18192,1.34867,1.5153,1.68197,1.84869,2.01541,2.18201,2.34882,2.51536,2.68212,2.84872,3.0156,3.18216,3.34892,3.51554,3.6821,3.84893,4.01547,4.18215,4.34891,4.51558,4.68209,4.84898,5.01554,5.18226,5.34887,5.51558,5.68228,5.84892,6.01557,6.1822,6.349,6.51565,6.68228,6.84892,7.01566,7.18234,7.34898,7.51574,7.68239,7.84896,8.01573,8.18234,8.34914,8.51576,8.68236,8.84914,9.01581,9.18248,9.34912,9.51588,9.68248,9.84913,10.01594,10.18247,10.34913,10.51579,10.68246,10.84912,11.01584,11.18257,11.34922,11.51594,11.68257,11.84936,12.01598,12.18259,12.3493,12.51608,12.68263,12.84926,13.01605,13.18266,13.34934,13.51613,13.6827,13.84939,14.01607,14.18272,14.34943,14.51619,14.68271,14.84953,15.01608,15.18253,15.34942,15.51604,15.68267,15.84952,16.01611,16.18279,16.34943,16.51609,16.68295,16.84953,17.0162,17.18285,17.34966,17.51631,17.68293,17.84958,18.01637,18.18293,18.34959,18.51622,18.68295,18.84961,19.01633,19.18305,19.34965,19.51631,19.68302,19.84969,20.01641,20.18308,20.34981,20.51645,20.68304,20.84973,21.01633,21.18304,21.34989,21.51642,21.68332,21.84977,22.01645,22.18312,22.34984,22.51659,22.68311,22.84985,23.01651,23.18327,23.34985,23.51653,23.68319,23.84991,24.01652,24.18325,24.34995,24.51659,24.6834,24.85006,25.01657,25.18331,25.35,25.51677,25.68331,25.8501,26.01679,26.18341,26.34995,26.51667,26.68338,26.85001,27.01666,27.18332,27.3501,27.5167,27.68351,27.85013,28.01682,28.18344,28.35017,28.51679,28.6835,28.85015,29.01695,29.18366,29.35019,29.51687,29.68366,29.85023,30.01689,30.18361,30.35029,30.5169,30.68363,30.85025,31.01707,31.18366,31.35034,31.51705,31.68372,31.85028,32.01707,32.18373,32.35036,32.51703,32.68374,32.85038,33.01708,33.18391,33.35034,33.51721,33.68384,33.85046,34.01713,34.18377,34.35045,34.51717,34.68387,34.85043,35.01719,35.18382,35.35065,35.51719,35.68392,35.85062,36.01726,36.18393,36.35057,36.5173,36.68398,36.85062,37.01734,37.18401,37.35069,37.51744,37.68406,37.85072,38.01744,38.18405,38.35075,38.51742,38.68403,38.85087,39.01752,39.18419,39.3505,39.51739,39.68419,39.85091,40.01748,40.18419,40.35085,40.51765,40.68431,40.85089,41.01756,41.18416,41.35093,41.51757,41.68435,41.85089,42.0177,42.18428,42.35116,42.51766,42.6842,42.85098,43.01765,43.18431,43.351,43.51775,43.68443,43.85102,44.0177,44.18443,44.35106,44.51776
A01,X1,,1,47.113,46.611,46.395,46.761,47.627,47.193,47.338,47.637,48.305,48.675,49.462,49.978,50.8,51.107,52.225,53.075,53.92,54.466,55.32,56.168,57.898,58.552,59.395,60.844,61.755,62.291,63.676,64.645,66.026,67.478,67.972,69.988,71.085,73.088,73.835,73.99,75.858,77.819,79.362,81.702,83.221,83.576,86.678,87.917,89.814,93.301,94.661,96.792,97.288,100.434,104.829,105.49,108.614,111.966,113.227,116.225,119.254,121.951,123.864,125.4,130.411,137.952,134.974,138.383,139.398,144.125,145.832,146.85,151.289,151.984,155.606,159.372,160.226,162.524,164.089,165.773,166.802,169.558,172.352,174.837,174.581,179.412,177.45,179.887,179.833,178.427,179.139,177.911,176.349,175.526,174.937,176.714,175.711,176.846,178.637,178.42,178.747,180.669,181.752,181.985,182.679,182.723,183.485,183.62,185.369,182.239,183.713,183.018,183.508,183.181,181.869,182.958,183.059,184.455,183.78,183.958,185.743,183.581,185.645,186.525,187.063,185.037,187.247,187.718,186.914,188.101,188.045,188.629,188.478,189.045,189.006,189.585,190.078,190.81,190.618,190.064,190.72,191.253,190.768,192.299,193.905,192.416,192.589,193.59,193.7,194.49,194.565,193.892,195.911,195.643,194.649,195.369,196.27,196.675,195.842,197.399,196.414,197.513,198.102,197.539,198.704,199.483,198.664,199.074,200.486,201.027,201.615,200.588,201.331,202.053,202.856,201.517,201.913,204.212,203.481,204.155,203.551,203.983,206.271,205.318,205.964,207.464,206.452,206.735,208.089,207.123,207.843,208.085,208.325,208.976,208.894,208.835,209.606,210.701,210.176,211.413,211.527,212.344,212.308,212.192,213.029,212.203,213.515,213.459,213.819,214.399,215.004,215.852,215.384,215.608,216.309,216.282,216.295,216.668,217.276,217.314,217.873,217.845,218.072,217.473,218.682,217.412,218.389,218.353,218.519,218.812,220.131,218.797,218.637,219.327,218.774,217.858,217.813,216.328,216.897,216.693,214.862,215.676,213.322,212.727,212.956,212.74,211.656,212.059,210.51,211.045,209.956,210.307,210.153,208.758,209.057,208.817,208.958,208.896,209.438,209.923,210.206,209.628,209.796,209.931,209.489,210.147,210.835,210.911,210.62,210.699,211.246,210.476
A02,X2,,1,45.067,45.239,44.678,45.035,45.291,45.532,46.145,46.148,47.134,47.693,48.76,49.324,49.651,50.677,51.895,52.859,53.565,54.657,55.537,56.96,58.589,59.602,60.754,62.293,63.485,65.679,66.231,68.003,71.154,72.749,74.598,77.305,79.556,82.614,83.721,87.966,91.102,95.098,97.665,101.689,104.75,109.3,112.699,119.209,121.533,127.113,132.554,135.981,144.981,148.563,154.943,164.061,167.659,173.942,179.227,191.342,199.376,210.246,214.69,225.864,231.87,240.304,245.326,246.926,248.586,251.307,249.03,248.29,245.748,246.351,248.162,248.352,249.577,252.756,254.767,260.795,260.954,261.733,261.609,263.026,262.533,262.03,264.071,263.366,264.679,264.579,263.933,264.272,265.628,265.812,266.61,267.479,265.825,267.853,268.606,268.071,271.841,272.03,271.841,274.861,275.563,276.281,278.907,278.544,279.483,280.443,280.87,280.922,280.997,280.481,279.522,280.75,281.152,282.097,280.567,279.569,281.631,279.406,283.264,282.056,281.65,283.031,282.676,285.476,283.233,286.525,284.753,287.779,282.346,284.498,286.204,289.505,284.991,283.893,288.006,289.606,288.345,289.609,288.263,288.208,283.955,285.401,284.669,283.239,282.716,279.871,278.757,280.557,280.237,278.013,280.676,282.065,285.119,286.988,287.552,290.194,289.698,292.927,290.929,292.106,293.43,292.437,293.232,292.705,292.926,293.896,294.658,295.184,298.466,298.788,298.696,297.436,296.654,298.168,297.899,299.859,295.731,298.563,298.278,294.96,299.256,299.264,299.606,297.317,297.635,299.103,298.731,297.24,300.257,300.466,296.611,296.623,300.668,298.259,297.303,299.067,297.794,296.962,297.605,296.419,298.099,299.19,298.28,302.052,298.129,296.861,297.671,298.023,299.265,298.618,297.962,299.48,299.301,297.24,298.563,299.668,298.233,298.536,295.955,297.906,297.34,299.003,298.547,299.326,298.981,297.464,297.614,299.587,296.849,297.151,297.289,299.514,296.222,297.752,297.915,296.737,298.317,296.297,299.022,297.252,297.189,297.904,296.937,298.541,298.454,299.775,297.389,299.25,299.149,296.484,296.259,297.365,296.71,297.265,298.036,298.378,298.076,298.824,298.974,297.291,295.38,299.429,298.302,295.748,298.77,300.731,299.381,298.051
A03,X3,,1,46.761,46.577,46.501,46.557,46.666,46.824,46.829,47.024,47.084,47.366,47.568,47.701,48.124,48.058,48.626,49.006,49.246,49.545,50.195,50.349,50.658,51.467,51.482,52.084,52.85,53.229,53.994,54.299,54.648,55.531,55.92,56.747,57.417,57.77,58.427,58.344,59.433,59.783,60.763,61.164,62.179,62.95,63.103,63.882,64.845,65.962,66.791,67.819,68.553,69.643,71.757,72.725,74.215,74.891,76.652,77.942,80.891,82.197,83.334,85.32,87.193,89.612,90.507,92.545,94.392,96.917,100.264,103.009,105.438,107.357,107.663,113.273,114.913,115.045,116.999,122.41,124.232,127.974,128.482,129.395,132.307,134.865,139.245,143.61,141.964,147.53,148.978,151.452,154.02,153.867,159.591,160.004,160.947,165.588,166.398,169.777,170.058,171.822,173.307,173.178,174.785,178.001,177.391,175.532,173.674,172.242,172.455,171.766,170.364,170.074,171.72,172.322,175.229,172.986,174.702,176.026,177.952,176.83,178.074,179.449,178.891,179.329,179.702,180.362,179.886,179.343,180.419,180.622,181.577,181.473,183.211,182.455,183.607,183.153,182.229,185.138,183.479,183.938,185.331,184.433,185.639,185.703,186.937,187.47,187.116,186.682,186.36,188.284,187.58,188.672,187.653,188.162,188.816,189.16,188.488,190.235,189.854,189.598,189.56,190.953,190.206,190.509,191.346,193.143,191.94,192.062,192.622,192.785,193.1,194.102,194.172,193.7,194.369,194.278,194.816,195.346,195.949,194.964,195.891,195.935,197.108,197.58,197.428,197.86,197.607,198.9,198.341,199.563,199.798,200.148,200.585,200.36,201.241,201.713,201.958,201.366,201.958,202.605,203.328,203.53,202.761,204.013,204.034,205.45,205.282,205.743,205.439,206.275,206.97,205.584,206.326,207.527,207.925,208.913,209.371,209.337,208.289,209.043,210.265,209.09,210.709,210.862,210.175,211.414,211.613,211.758,211.258,211.752,213.198,212.708,213.263,213.509,212.502,213.645,213.988,213.871,213.695,214.119,214.804,215.38,214.288,214.222,214.364,213.6,214.483,214.397,213.57,213.777,212.868,212.533,212.199,211.521,210.406,210.359,209.4,208.583,208.446,207.132,206.758,205.857,205.681,204.466,204.689,205.031,203.589,202.958,202.939,203.371
A04,X4,,1,60.309,61.36,61.366,61.865,62.614,62.732,63.614,63.957,64.725,64.653,65.594,67.33,66.854,67.974,69.802,69.515,70.585,71.621,72.315,74.406,74.758,76.95,77.992,78.825,80.153,81.467,82.115,85.991,86.359,88.265,90.002,92.199,93.907,96.374,99.193,102.186,105.922,108.872,111.848,114.378,118.646,123.945,126.079,131.525,136.161,138.689,145.303,150.182,154.048,160.672,167.703,172.963,179.742,188.756,191.73,201.569,206.897,218.275,227.159,232.741,236.841,251.898,253.58,259.508,261.412,264.88,262.217,262.453,265.872,260.995,261.856,263.95,262.737,265.946,269.578,270.334,272.872,274.99,275.97,276.795,276.456,276.446,279.761,280.586,278.028,280.361,279.951,279.487,280.812,281.356,281.302,283.585,284.943,287.394,287.375,286.932,290.175,292.167,293.01,292.54,295.298,296.066,297.645,295.329,297.582,297.859,297.24,297.995,298.486,296.95,298.083,298.85,297.113,298.673,298.094,298.418,298.769,295.795,299.235,300.544,297.654,299.992,296.774,300.628,299.869,298.854,300.707,298.927,302.382,302.723,303.664,302.089,302.336,300.948,303.916,305.188,305.693,305.44,307.671,304.816,306.204,306.416,306.238,305.49,306.781,304.452,304.455,308.992,306.044,306.965,306.06,307.753,305.993,307.063,306.908,308.859,307.268,307.143,309.718,307.852,310.45,311.636,310.807,310.255,311.17,311.595,309.454,311.101,310.581,312.31,312.081,310.813,310.613,312.852,313.008,313.9,313.641,315.537,315.243,316.456,313.591,315.584,315.417,316.475,313.346,316.944,316.926,314.813,315.764,315.398,314.822,314.352,315.727,315.516,314.723,314.801,314.145,313.571,314.533,315.989,313.532,315.658,315.19,314.883,314.418,314.374,312.132,315.092,315.155,313.268,313.551,312.018,312.666,314.67,315.191,313.471,314.307,313.899,313.584,313.741,314.054,314.245,313.502,310.263,313.471,311.259,312.238,313.427,312.688,312.675,312.753,313.841,309.606,312.169,311.985,311.177,309.408,311.563,311.681,313.525,311.102,312.971,313.439,312.425,312.079,311.615,311.265,313.745,311.202,313.383,311.852,312.156,310.112,313.143,311.686,312.703,314.789,312.567,311.226,312.903,312.88,312.829,314.476,315.513,313.072,314.025,314.336,312.605
A05,X5,,1,54.456,53.922,53.922,53.653,56.021,55.596,55.638,55.966,55.124,56.267,55.534,56.873,56.227,58.826,56.153,59.755,59.598,58.65,60.063,61.452,64.397,60.448,61.998,63.05,66.636,60.519,67.335,64.941,69.067,67.748,66.258,66.155,71.639,71.698,72.277,66.385,71.197,74.057,69.863,66.324,76.639,74.055,73.17,69.716,71.798,72.308,70.127,72.857,73.968,81.967,76.04,69.544,78.008,76.828,76.098,74.865,80.159,81.818,80.529,80.159,86.865,78.459,81.738,81.893,88.244,87.435,85.395,85.748,89.792,96.324,86.327,92.387,93.127,85.014,90.513,90.044,102.795,91.794,95.002,99.632,96.15,111.992,96.62,109.85,108.335,100.814,123.209,123.31,111.245,114.544,112.033,126.95,121.755,136.87,140.77,119.691,136.865,150.212,139.954,151.858,156.564,133.949,152.04,149.228,119.466,128.284,145.395,140.556,139.164,151.452,138.577,145.297,131.941,153.983,150.009,154.066,182.23,175.487,165.255,175.566,153.899,179.744,170.886,155.606,177.306,192.8,188.045,181.998,182.732,186.127,201.578,193.717,187.933,197.596,207.095,210.975,207.159,198.013,199.252,191.02,203.781,206.465,199.787,202.891,209.125,211.785,205.531,212.37,208.522,209.163,215.866,210.812,215.884,220.534,216.053,222.651,225.736,226.317,235.781,241.408,240.142,237.817,243.496,241.243,242.087,250.084,244.213,243.07,244.671,239.375,238.81,242.237,237.723,235.21,241.017,244.711,250.256,245.284,247.053,245.849,246.245,247.57,249.121,254.064,251.77,258.594,252.7,258.802,257.737,257.528,257.39,256.044,262.283,254.681,263.168,257.932,262.458,265.002,263.181,258.87,263.444,265.962,266.197,268.023,264.702,263.987,269.381,275.813,269.128,270.202,271.858,274.176,276.922,276.235,273.615,277.598,274.184,272.559,273.704,275.211,279.215,277.79,280.133,278.357,281.545,279.32,280.371,283.525,281.4,286.06,286.305,287.825,290.597,286.482,287.282,292.082,295.645,287.258,293.923,293.642,296.233,295.154,295.708,296.662,296.787,300.942,297.941,300.005,301.738,308.488,306.876,304.534,311.711,309.826,312.647,311.793,314.283,317.038,316.706,316.104,315.284,316.436,316.398,315.867,320.394,319.059,323.352,321.117
A06,X6,,1,36.656,36.902,37.234,37.555,37.931,37.634,38.417,38.657,39.686,39.849,41.183,41.888,42.937,43.566,45.179,46.28,47.658,49.328,50.45,51.804,52.704,55.131,56.548,57.856,58.987,61.046,62.238,64.503,66.271,67.465,69.635,70.698,72.426,74.826,77.413,80.567,81.843,83.634,86.254,86.567,88.677,89.658,92.488,93.624,98.48,99.279,102.895,103.721,108.308,112.086,111.354,113.305,125.007,128.806,137.968,147.863,160.104,160.354,168.26,175.373,180.819,181.769,190.276,198.492,203.252,207.646,213.299,215.678,216.935,214.891,209.778,204.373,200.425,197.015,195.926,196.074,194.04,192.9,194.432,192.968,194.002,194.27,193.341,194.299,193.421,196.476,196.767,196.141,198.1,195.589,198.767,196.655,197.849,197.622,199.213,198.189,198.302,198.944,200.127,198.769,199.021,197.407,199.189,200.975,201.265,199.264,200.209,201.944,203.15,200.09,201.941,200.392,203.262,203.068,203.947,203.158,203.52,200.334,202.156,202.801,204.977,204.4,206.678,205.683,205.754,205.631,207.717,207.721,206.669,208.012,208.758,206.843,209.404,207.953,208.531,210.207,209.178,210.116,210.378,211.073,211.933,211.795,211.927,211.393,211.333,209.458,211.523,211.022,210.127,211.418,209.545,212.846,216.33,217.298,220.113,221.193,222.283,226.125,225.74,229.492,229.648,231.247,231.771,232.257,233.785,233.911,236.545,237.752,238.446,240.713,240.441,242.391,242.381,243.348,243.649,245.827,246.474,247,246.95,247.111,251.826,249.618,251.434,252.934,253.116,254.59,254.633,255.234,253.461,254.841,255.294,256.471,258.051,258.659,259.689,257.289,257.604,260.083,260.662,261.18,260.148,260.481,261.228,260.357,262.774,262.441,262.79,261.625,265.257,263.073,263.431,266.838,266.326,264.16,264.122,265.443,267.895,267.031,267.773,267.973,269.315,268.329,268.926,269.883,270.714,273.895,271.135,270.966,272.57,271.967,271.835,274.905,275.266,275.588,274.103,275.672,276.086,277.403,277.233,277.306,277.331,277.489,278.893,280.46,281.783,282.624,282.033,284.504,283.439,285.084,286.961,286.699,285.84,287.541,288.165,290.969,290.517,290.249,292.684,291.13,293.849,291.597,292.966,293.978,295.799,296.33,297.203,297.279
A07,X7,,1,43.26,45.066,51.299,48.823,48.539,44.204,48.991,46.261,46.078,49.708,47.894,46.342,48.238,41.668,49.753,44.582,44.965,42.067,40.518,42.576,40.577,41.896,41.555,40.349,42.191,44.257,42.643,44.52,44.739,42.257,43.454,44.086,42.318,40.11,39.878,38.793,37.884,37.215,37.133,36.389,36.526,35.679,35.387,34.635,34.497,33.965,34.379,34.239,34.505,34.396,33.946,33.8,33.92,34.195,34.121,34.248,34.047,34.124,34.087,33.972,34.034,33.849,33.542,33.572,33.644,33.421,33.62,33.624,33.569,33.505,33.643,33.517,33.594,33.442,33.569,33.393,33.444,33.554,33.228,33.164,33.193,33.168,33.332,33.369,33.315,33.277,33.13,33.255,33.444,33.209,33.318,33.092,33.39,33.294,33.396,33.294,33.18,33.466,33.289,33.365,33.227,33.156,33.506,33.291,33.363,33.227,33.219,33.365,33.227,33.302,33.256,33.369,33.13,33.289,33.369,33.218,33.498,33.255,33.159,33.457,33.138,33.18,33.176,33.393,33.384,33.28,33.259,33.38,33.259,33.419,33.432,33.244,33.391,33.353,33.269,33.269,33.282,33.227,33.013,33.304,33.228,33.402,33.52,33.363,33.503,33.242,33.458,33.292,33.297,33.234,33.399,33.377,33.326,33.374,33.311,33.298,33.158,33.248,33.222,33.542,33.887,33.733,33.898,34.04,33.683,33.68,33.643,33.545,33.694,33.489,33.552,33.672,33.308,33.526,33.248,33.953,33.872,34.102,33.43,33.646,33.705,34.42,34.063,33.542,33.567,33.769,33.497,33.445,33.289,33.18,33.234,33.498,33.398,33.659,34.147,34.618,34.504,34.363,34.272,34.103,33.909,33.772,33.82,33.609,33.465,33.279,33.616,34.011,34.425,34.407,34.139,34.021,34.189,34.596,34.58,34.124,34.048,34.037,33.772,33.835,33.705,33.798,33.621,33.616,33.781,33.756,33.773,33.72,33.473,33.435,33.709,33.306,33.636,33.51,33.531,33.372,33.435,33.469,33.406,33.478,33.607,33.523,33.393,33.455,33.618,33.473,33.585,34.069,33.985,33.91,34.818,35.243,35.129,34.593,34.656,34.34,34.3,33.857,33.844,33.616,33.734,33.456,33.599,33.624,33.295,33.822,33.81,33.604
A08,X8,,1,30.939,31.239,31.412,31.13,31.496,31.507,31.745,31.516,31.67,31.426,31.649,31.696,31.944,31.722,31.809,31.83,31.565,31.894,31.861,31.779,31.635,32.236,32.128,31.756,31.749,31.742,31.754,32.155,31.827,31.548,31.608,32.019,32.029,31.704,32.232,32.101,31.874,31.887,32.05,31.818,32.261,31.667,32.099,32.17,32.074,31.655,31.803,32.285,32.336,31.896,32.375,31.994,31.929,31.73,32.056,32.079,31.725,31.927,32.065,31.801,32.016,32.046,31.866,31.794,31.914,31.855,32.077,31.904,32.127,31.952,32.18,32.028,31.863,32.179,32.33,31.987,32.238,31.994,32.178,31.976,31.97,31.87,32.06,32.048,32.22,32.345,32.01,31.873,32.05,32.155,32.464,32.124,32.157,32.248,32.385,32.172,32.186,32.534,32.308,32.042,32.407,32.184,32.191,32.203,32.376,32.115,32.133,32.093,32.773,32.408,32.362,31.909,32.4,32.321,32.35,32.69,32.18,32.615,32.268,32.3,32.233,32.25,32.283,32.012,32.42,32.603,32.846,32.679,32.356,32.878,32.349,32.45,32.079,32.533,32.45,32.488,32.31,32.242,32.241,32.443,32.29,32.742,32.227,32.603,32.412,32.466,32.707,32.606,32.469,32.342,32.609,32.551,32.309,32.316,32.366,32.761,32.633,32.415,32.466,32.633,33.055,32.749,32.762,33.234,32.863,32.692,32.987,32.785,32.936,32.794,32.473,32.735,32.705,32.884,32.991,32.761,32.731,33,33.021,32.843,32.979,32.919,33.237,32.755,32.615,32.616,33.042,33.105,32.736,32.59,32.732,32.782,32.845,32.903,32.95,32.878,32.601,32.312,32.773,33.118,32.798,32.797,32.768,32.848,32.92,32.987,32.781,33.038,33.122,32.802,33.468,32.92,33.329,33.295,33.029,32.702,32.778,32.84,32.992,33.294,33.302,33.281,33.293,33.138,32.728,33.067,33.021,33.218,32.77,32.795,33.231,33.205,33.159,33.008,33.318,32.983,33.171,33.343,33.657,33.025,32.929,33.686,33.38,33.104,33.481,33.059,33.598,33.063,33.695,33.432,33.159,33.369,32.899,33.496,33.013,33.67,33.591,33.148,33.046,33.616,33.607,33.202,33.409,33.447,33.257,33.443,33.418,33.452
B01,X9,,1,52.705,52.446,52.04,52.443,52.626,53.025,53.165,53.152,53.514,53.875,54.706,55.087,55.735,56.51,57.053,57.803,58.188,58.891,59.757,60.482,61.467,62.229,62.896,63.871,64.343,65.782,67.31,67.424,68.989,69.424,69.996,72.466,72.413,74.144,75.688,76.97,78.144,79.179,81.197,83.366,84.105,85.007,87.99,88.883,91.159,92.908,94.864,96.246,98.531,103.544,104.639,106.815,110.34,110.419,115.871,117.612,120.895,122.317,125.001,125.779,130.045,133.227,135.1,136.996,140.61,142.837,145.832,149.164,147.267,150.949,155.29,157.782,158.799,158.721,163.507,163.645,168.059,170.142,172.428,175.962,173.105,176.779,178.835,182.14,183.368,183.477,183.543,182.698,181.385,182.632,179.814,178.147,178.895,179.418,180.456,180.337,178.696,183.174,182.331,183.573,184.016,183.518,186.659,184.797,184.546,186.638,184.773,184.682,186.215,186.165,186.717,186.709,186.357,188.103,186.496,186.216,186.872,187.747,188.119,189.73,189.25,189.614,190.479,190.292,190.684,190.294,191.739,190.181,191.702,191.271,191.084,193.704,192.841,192.538,195.304,193.112,193.382,194.235,194.346,195.884,193.918,195.665,194.35,196.593,195.374,196.385,197.567,197.58,198.038,199.465,198.548,199.233,200.302,199.694,199.29,200.763,200.698,201.599,200.408,202.561,203.567,201.643,202.981,202.346,202.92,203.592,203.519,204.258,205.999,204.523,205.682,205.394,204.492,205.329,206.036,206.514,207.359,208.146,207.524,208.506,208.092,207.794,208.333,209.731,209.054,209.886,209.852,209.85,210.249,210.245,211.467,210.882,211.264,211.456,211.941,213.519,212.447,212.86,212.409,213.126,214.759,214.962,215.379,215.16,214.39,215.919,215.51,215.839,217.673,216.771,217.41,216.332,216.751,217.54,217.528,217.893,219.244,218.865,218.765,218.593,219.891,219.15,219.81,219.912,219.021,220.379,220.77,220.756,220.722,219.905,220.787,220.862,221.366,220.929,221.788,221.348,220.068,219.869,220.58,219.782,219.668,219.42,219.681,218.274,218.833,215.942,216.819,217.071,215.658,214.257,213.493,212.905,212.346,210.876,211.7,211.175,211.041,211.072,210.505,209.69,209.679,210.818,209.495,209.659,209.216,210.218,208.941,210.21
